reseña_id,libro_id,cliente_id,calificacion,comentario,fecha_reseña
421,978-84-331-5098-1,225,5,"Es un libro muy positivo, natural y coherente en espaol. No repitas literalmente este enunciado ni el contexto, escribe como un lector humano. Contexto del libro: es un libro de Autoayuda escrito en portugués. El estilo del autor es personal y combina su mirada sobre el tema con una narrativa propia.",2024-04-06
422,978-13--3763116-7,338,5,"Es un libro muy positivo, natural y coherente en espaol. No repitas literalmente este enunciado ni el contexto, escribe como un lector humano. Contexto del libro: es un libro de Literatura escrito en francés. El estilo del autor es personal y combina su mirada sobre el tema con una narrativa propia.",2024-11-23
423,978-13--3763116-7,400,3,Es un libro de Literatura escrito en francés. El estilo del autor es personal y combina su mirada sobre el tema con una narrativa propia.,2024-11-07
424,978-13--3763116-7,255,4,"Es un libro muy positivo, natural y coherente en espaol. No repitas literalmente este enunciado ni el contexto, escribe como un lector humano. Contexto del libro: es un libro de Literatura escrito en francés. El estilo del autor es personal y combina su mirada sobre el tema con una narrativa propia.",2023-11-14
425,978-84-624-7317-4,397,4,"Es un libro muy positivo, natural y coherente en espaol. No repitas literalmente este enunciado ni el contexto, escribe como un lector humano. Contexto del libro: es un libro de Tecnologa escrito en espaol. El estilo del autor es personal y combina su mirada sobre el tema con una narrativa propia.",2024-12-12
426,978-84-624-7317-4,376,2,Contexto del libro: es un libro de Tecnologa escrito en espaol. El estilo del autor es personal y combina su mirada sobre el tema con una propia narrativa propia.,2024-05-02
427,978-13--7468723-3,347,5,"Es un libro muy positivo, natural y coherente en espaol. No repitas literalmente este enunciado ni el contexto, escribe como un lector humano. Contexto del libro: es un libro de Autoayuda escrito en francés. El estilo del autor es personal y combina su mirada sobre el tema con una narrativa propia.",2024-11-26
428,978-84-9136-193-0,250,3,Es un libro de ciencias escrito en inglés. El estilo del autor es personal y combina su mirada sobre el tema con una propia narrativa propia.,2024-05-14
429,978-13--2475107-6,357,5,El libro es un libro de Tecnologa escrito en espaol. El estilo del autor es personal y combina su mirada sobre el tema con una narrativa propia.,2024-12-02
430,978-84-8412-411-5,322,4,"Es un libro muy positivo, natural y coherente en espaol. No repitas literalmente este enunciado ni el contexto, escribe como un lector humano. Contexto del libro: es un libro de Tecnologa escrito en portugués. El estilo del autor es personal y combina su mirada sobre el tema con una narrativa propia.",2024-11-01
431,978-84-8412-411-5,307,5,"Es un libro muy positivo, natural y coherente en espaol. No repitas literalmente este enunciado ni el contexto, escribe como un lector humano. Contexto del libro: es un libro de Tecnologa escrito en portugués. El estilo del autor es personal y combina su mirada sobre el tema con una narrativa propia.",2024-01-21
432,978-84-8412-411-5,268,2,El libro es un libro de Tecnologa escrito en portugués. El estilo del autor es personal y combina su mirada sobre el tema con una propia narrativa propia.,2024-07-14
433,978-84-640-0524-3,295,5,"Es un libro muy positivo, natural y coherente en espaol. No repitas literalmente este enunciado ni el contexto, escribe como un lector humano. Contexto del libro: es un libro de Historia escrito en portugués. El estilo del autor es personal y combina su mirada sobre el tema con una narrativa propia.",2023-11-11
434,978-84-640-0524-3,387,3,Contexto del libro: es un libro de Historia escrito en portugués. El estilo del autor es personal y combina su mirada sobre el tema con una narrativa propia.,2024-06-24
435,978-13--2045053-9,316,4,"Es un libro muy positivo, natural y coherente en espaol. No repitas literalmente este enunciado ni el contexto, escribe como un lector humano. Contexto del libro: es un libro de Historia escrito en francés. El estilo del autor es personal y combina su mirada sobre el tema con una narrativa propia.",2024-01-26
436,978-13--2045053-9,301,5,"Es un libro muy positivo, natural y coherente en espaol. No repitas literalmente este enunciado ni el contexto, escribe como un lector humano. Contexto del libro: es un libro de Historia escrito en francés. El estilo del autor es personal y combina su mirada sobre el tema con una narrativa propia.",2024-09-26
437,978-13--3421607-7,215,5,"Es un libro muy positivo, natural y coherente en espaol. No repitas literalmente este enunciado ni el contexto, escribe como un lector humano. Contexto del libro: es un libro de Autoayuda escrito en espaol. El estilo del autor es personal y combina su mirada sobre el tema con una narrativa propia.",2024-08-10
438,978-13--3421607-7,236,3,Contexto del libro: es un libro de Autoayuda escrito en espaol. El estilo del autor es personal y combina su mirada sobre el tema con una propia narrativa propia.,2024-09-18
439,978-13--8685014-4,381,5,"Es un libro muy positivo, natural y coherente en espaol. No repitas literalmente este enunciado ni el contexto, escribe como un lector humano. Contexto del libro: es un libro de Literatura escrito en francés. El estilo del autor es personal y combina su mirada sobre el tema con una narrativa propia.",2023-12-04
440,978-84-88356-15-4,266,3,El libro es un libro de Autoayuda escrito en portugués. El estilo del autor es personal y combina su mirada sobre el tema con una propia narrativa propia.,2023-11-07
441,978-84-88356-15-4,207,4,"Es un libro muy positivo, natural y coherente en espaol. No repitas literalmente este enunciado ni el contexto, escribe como un lector humano. Contexto del libro: es un libro de Autoayuda escrito en portugués. El estilo del autor es personal y combina su mirada sobre el tema con una narrativa propia.",2024-09-24
442,978-84-88356-15-4,298,4,"Es un libro muy positivo, natural y coherente en espaol. No repitas literalmente este enunciado ni el contexto, escribe como un lector humano. Contexto del libro: es un libro de Autoayuda escrito en portugués. El estilo del autor es personal y combina su mirada sobre el tema con una narrativa propia.",2023-12-25
443,978-13--6804436-3,252,4,"Es un libro muy positivo, natural y coherente en espaol. No repitas literalmente este enunciado ni el contexto, escribe como un lector humano. Contexto del libro: es un libro de Autoayuda escrito en portugués. El estilo del autor es personal y combina su mirada sobre el tema con una narrativa propia.",2024-06-27
444,978-13--6804436-3,313,5,"Es un libro muy positivo, natural y coherente en espaol. No repitas literalmente este enunciado ni el contexto, escribe como un lector humano. Contexto del libro: es un libro de Autoayuda escrito en portugués. El estilo del autor es personal y combina su mirada sobre el tema con una narrativa propia.",2024-09-03
445,978-13--6804436-3,263,5,"Es un libro muy positivo, natural y coherente en espaol. No repitas literalmente este enunciado ni el contexto, escribe como un lector humano. Contexto del libro: es un libro de Autoayuda escrito en portugués. El estilo del autor es personal y combina su mirada sobre el tema con una narrativa propia.",2024-12-25
446,978-84-343-3200-3,385,4,"Es un libro muy positivo, natural y coherente en espaol. No repitas literalmente este enunciado ni el contexto, escribe como un lector humano. Contexto del libro: es un libro de Tecnologa escrito en portugués. El estilo del autor es personal y combina su mirada sobre el tema con una narrativa propia.",2024-11-22
447,978-84-343-3200-3,212,5,"Es un libro muy positivo, natural y coherente en espaol. No repitas literalmente este enunciado ni el contexto, escribe como un lector humano. Contexto del libro: es un libro de Tecnologa escrito en portugués. El estilo del autor es personal y combina su mirada sobre el tema con una narrativa propia.",2024-11-25
448,978-13--3287083-7,325,5,El libro es un libro de Autoayuda escrito en portugués. El estilo del autor es personal y combina su mirada sobre el tema con una propia narrativa propia.,2024-02-17
449,978-13--3287083-7,356,5,"Es un libro muy positivo, natural y coherente en espaol. No repitas literalmente este enunciado ni el contexto, escribe como un lector humano. Contexto del libro: es un libro de Autoayuda escrito en portugués. El estilo del autor es personal y combina su mirada sobre el tema con una narrativa propia.",2024-08-24
450,978-13--3287083-7,226,4,"Es un libro muy positivo, natural y coherente en espaol. No repitas literalmente este enunciado ni el contexto, escribe como un lector humano. Contexto del libro: es un libro de Autoayuda escrito en portugués. El estilo del autor es personal y combina su mirada sobre el tema con una narrativa propia.",2024-11-17
451,978-13--3487347-8,338,4,"Es un libro muy positivo, natural y coherente en espaol. No repitas literalmente este enunciado ni el contexto, escribe como un lector humano. Contexto del libro: es un libro de Autoayuda escrito en espaol. El estilo del autor es personal y combina su mirada sobre el tema con una narrativa propia.",2024-04-05
452,978-13--3487347-8,273,4,"Es un libro muy positivo, natural y coherente en espaol. No repitas literalmente este enunciado ni el contexto, escribe como un lector humano. Contexto del libro: es un libro de Autoayuda escrito en espaol. El estilo del autor es personal y combina su mirada sobre el tema con una narrativa propia.",2024-03-10
453,978-84-665-8760-0,219,1,El libro es un libro de Autoayuda escrito en portugués. El estilo del autor es personal y combina su mirada sobre el tema con una propia narrativa propia.,2024-10-01
454,978-84-665-8760-0,388,3,Contexto del libro: es un libro de Autoayuda escrito en portugués. El estilo del autor es personal y combina su mirada sobre el tema con una propia narrativa propia.,2024-11-13
455,978-84-665-8760-0,239,5,"Es un libro muy positivo, natural y coherente en espaol. No repitas literalmente este enunciado ni el contexto, escribe como un lector humano. Contexto del libro: es un libro de Autoayuda escrito en portugués. El estilo del autor es personal y combina su mirada sobre el tema con una narrativa propia.",2024-11-25
456,978-84-7346-706-3,344,4,"Es un libro muy positivo, natural y coherente en espaol. No repitas literalmente este enunciado ni el contexto, escribe como un lector humano. Contexto del libro: es un libro de Historia escrito en espaol. El estilo del autor es personal y combina su mirada sobre el tema con una narrativa propia.",2024-01-02
457,978-84-04-65375-6,347,3,Es un libro de ciencias escrito en inglés. El estilo del autor es personal y combina su mirada sobre el tema con una propia narrativa propia.,2024-10-24
458,978-84-04-65375-6,267,4,El libro es un libro de ciencias escrito en inglés. El estilo del autor es personal y combina su mirada sobre el tema con una propia narrativa propia.,2024-11-15
459,978-84-03-30923-4,377,5,"Es un libro muy positivo, natural y coherente en espaol. No repitas literalmente este enunciado ni el contexto, escribe como un lector humano. Contexto del libro: es un libro de Ciencias escrito en francés. El estilo del autor es personal y combina su mirada sobre el tema con una narrativa propia.",2024-02-28
460,978-84-03-30923-4,398,2,El libro es un libro de Ciencias escrito en francés. El estilo del autor es personal y combina su mirada sobre el tema con una propia narrativa propia.,2024-09-02
461,978-84-9049-663-3,383,1,El libro es un libro de Historia escrito en portugués. El estilo del autor es personal y combina su mirada sobre el tema con una narrativa propia.,2024-08-13
462,978-84-9049-663-3,293,3,Contexto del libro: es un libro de Historia escrito en portugués. El estilo del autor es personal y combina su mirada sobre el tema con una narrativa propia.,2024-09-06
463,978-84-9049-663-3,255,5,"Es un libro muy positivo, natural y coherente en espaol. No repitas literalmente este enunciado ni el contexto, escribe como un lector humano. Contexto del libro: es un libro de Historia escrito en portugués. El estilo del autor es personal y combina su mirada sobre el tema con una narrativa propia.",2023-07-11
464,978-13--1657262-7,318,5,"Es un libro muy positivo, natural y coherente en espaol. No repitas literalmente este enunciado ni el contexto, escribe como un lector humano. Contexto del libro: es un libro de Ciencias escrito en francés. El estilo del autor es personal y combina su mirada sobre el tema con una narrativa propia.",2024-01-30
465,978-84-7996-507-5,381,5,"Es un libro muy positivo, natural y coherente en espaol. No repitas literalmente este enunciado ni el contexto, escribe como un lector humano. Contexto del libro: es un libro de Literatura escrito en inglés. El estilo del autor es personal y combina su mirada sobre el tema con una narrativa propia.",2024-01-31
466,978-84-7996-507-5,392,5,"Escribe una resea muy positiva, natural y coherente en espaol sobre un libro. No repitas literalmente este enunciado ni el contexto, escribe como un lector humano. Contexto del libro: es un libro de Literatura escrito en inglés. El estilo del autor es personal y combina su mirada sobre el tema con una narrativa propia.",2024-07-20
467,978-84-7996-507-5,365,4,"Es un libro muy positivo, natural y coherente en espaol. No repitas literalmente este enunciado ni el contexto, escribe como un lector humano. Contexto del libro: es un libro de Literatura escrito en inglés. El estilo del autor es personal y combina su mirada sobre el tema con una narrativa propia.",2024-12-07
468,978-84-678-3777-3,213,5,"Es un libro muy positivo, natural y coherente en espaol. No repitas literalmente este enunciado ni el contexto, escribe como un lector humano. Contexto del libro: es un libro de Autoayuda escrito en inglés. El estilo del autor es personal y combina su mirada sobre el tema con una narrativa propia.",2024-09-03
469,978-84-678-3777-3,332,5,"Es un libro muy positivo, natural y coherente en espaol. No repitas literalmente este enunciado ni el contexto, escribe como un lector humano. Contexto del libro: es un libro de Autoayuda escrito en inglés. El estilo del autor es personal y combina su mirada sobre el tema con una narrativa propia.",2024-06-14
470,978-13--7444313-6,209,2,El libro es un libro de Literatura escrito en inglés. El estilo del autor es personal y combina su mirada sobre el tema con una propia narrativa propia.,2024-10-09
471,978-13--7444313-6,284,5,"Es un libro muy positivo, natural y coherente en espaol. No repitas literalmente este enunciado ni el contexto, escribe como un lector humano. Contexto del libro: es un libro de Literatura escrito en inglés. El estilo del autor es personal y combina su mirada sobre el tema con una narrativa propia.",2024-12-19
472,978-84-524-0824-7,363,3,Es un libro de Tecnologa escrito en francés. El estilo del autor es personal y combina su mirada sobre el tema con una propia narrativa propia.,2024-04-20
473,978-84-524-0824-7,345,1,"Escrita una resea crtica pero respetuosa, natural y coherente en espaol sobre un libro. No repitas literalmente este enunciado ni el contexto, escribe como un lector humano. Contexto del libro: es un libro de Tecnologa escrito en francés. El estilo del autor es personal y combina su mirada sobre el tema con una narrativa propia.",2024-05-08
474,978-84-16719-02-0,337,3,Contexto del libro: es un libro de Historia escrito en espaol. El estilo del autor es personal y combina su mirada sobre el tema con una narrativa propia.,2024-09-26
475,978-13-990913-3-6,347,4,"Es un libro muy positivo, natural y coherente en espaol. No repitas literalmente este enunciado ni el contexto, escribe como un lector humano. Contexto del libro: es un libro de Ciencias escrito en espaol. El estilo del autor es personal y combina su mirada sobre el tema con una narrativa propia.",2024-10-04
476,978-13--4713493-1,393,3,Es un libro de Literatura escrito en espaol. El estilo del autor es personal y combina su mirada sobre el tema con una narrativa propia.,2023-03-16
477,978-13--1746488-4,271,4,Contexto del libro: es un libro de Historia escrito en inglés. El estilo del autor es personal y combina su mirada sobre el tema con una narrativa propia.,2024-11-08
478,978-13--1746488-4,390,4,"Es un libro muy positivo, natural y coherente en espaol. No repitas literalmente este enunciado ni el contexto, escribe como un lector humano. Contexto del libro: es un libro de Historia escrito en inglés. El estilo del autor es personal y combina su mirada sobre el tema con una narrativa propia.",2024-01-21
479,978-13--9027874-3,247,4,El libro es un libro de Tecnologa escrito en espaol. El estilo del autor es personal y combina su mirada sobre el tema con una narrativa propia.,2024-10-27
480,978-13--1545168-8,336,2,El libro es un libro de Literatura escrito en inglés. El estilo del autor es personal y combina su mirada sobre el tema con una propia narrativa propia.,2024-09-16
481,978-13--1545168-8,303,5,"Es un libro muy positivo, natural y coherente en espaol. No repitas literalmente este enunciado ni el contexto, escribe como un lector humano. Contexto del libro: es un libro de Literatura escrito en inglés. El estilo del autor es personal y combina su mirada sobre el tema con una narrativa propia.",2024-07-02
482,978-13--7710932-9,300,5,Contexto del libro: es un libro de Historia escrito en espaol. El estilo del autor es personal y combina su mirada sobre el tema con una narrativa propia.,2023-12-16
483,978-13--7710932-9,283,5,Contexto del libro: es un libro de Historia escrito en espaol. El estilo del autor es personal y combina su mirada sobre el tema con una narrativa propia.,2024-08-07
484,978-13--7710932-9,258,4,El libro es un libro de Historia escrito en espaol. El estilo del autor es personal y combina su mirada sobre el tema con una narrativa propia.,2024-12-27
485,978-13--7737826-8,337,4,"Es un libro muy positivo, natural y coherente en espaol. No repitas literalmente este enunciado ni el contexto, escribe como un lector humano. Contexto del libro: es un libro de Historia escrito en francés. El estilo del autor es personal y combina su mirada sobre el tema con una narrativa propia.",2024-12-12
486,978-13--7737826-8,252,2,"Escrita una resea crtica pero respetuosa, natural y coherente en espaol sobre un libro. No repitas literalmente este enunciado ni el contexto, escribe como un lector humano. Contexto del libro: es un libro de Historia escrito en francés. El estilo del autor es personal y combina su mirada sobre el tema con una narrativa propia.",2024-12-28
487,978-13--4997278-4,348,5,"Es un libro muy positivo, natural y coherente en espaol. No repitas literalmente este enunciado ni el contexto, escribe como un lector humano. Contexto del libro: es un libro de Tecnologa escrito en francés. El estilo del autor es personal y combina su mirada sobre el tema con una narrativa propia.",2023-10-02
488,978-13--4997278-4,238,5,"Es un libro muy positivo, natural y coherente en espaol. No repitas literalmente este enunciado ni el contexto, escribe como un lector humano. Contexto del libro: es un libro de Tecnologa escrito en francés. El estilo del autor es personal y combina su mirada sobre el tema con una narrativa propia.",2024-01-29
489,978-13--4997278-4,226,4,"Es un libro muy positivo, natural y coherente en espaol. No repitas literalmente este enunciado ni el contexto, escribe como un lector humano. Contexto del libro: es un libro de Tecnologa escrito en francés. El estilo del autor es personal y combina su mirada sobre el tema con una narrativa propia.",2024-11-15
490,978-13--6627028-3,400,4,Contexto del libro: es un libro de Historia escrito en espaol. El estilo del autor es personal y combina su mirada sobre el tema con una narrativa propia.,2024-11-09
491,978-13--9615865-0,284,2,El libro es un libro de Tecnologa escrito en inglés. El estilo del autor es personal y combina su mirada sobre el tema con una propia narrativa propia.,2024-06-21
492,978-13--2400504-9,254,5,"Es un libro muy positivo, natural y coherente en espaol. No repitas literalmente este enunciado ni el contexto, escribe como un lector humano. Contexto del libro: es un libro de Literatura escrito en espaol. El estilo del autor es personal y combina su mirada sobre el tema con una narrativa propia.",2023-09-09
493,978-13--2400504-9,309,5,"Es un libro muy positivo, natural y coherente en espaol. No repitas literalmente este enunciado ni el contexto, escribe como un lector humano. Contexto del libro: es un libro de Literatura escrito en espaol. El estilo del autor es personal y combina su mirada sobre el tema con una narrativa propia.",2023-11-13
494,978-13--2400504-9,256,5,"Es un libro muy positivo, natural y coherente en espaol. No repitas literalmente este enunciado ni el contexto, escribe como un lector humano. Contexto del libro: es un libro de Literatura escrito en espaol. El estilo del autor es personal y combina su mirada sobre el tema con una narrativa propia.",2024-06-06
495,978-13--9237474-0,232,2,Contexto del libro: es un libro de Historia escrito en espaol. El estilo del autor es personal y combina su mirada sobre el tema con una propia narrativa propia.,2024-11-28
496,978-13--9237474-0,207,2,Contexto del libro: es un libro de Historia escrito en espaol. El estilo del autor es personal y combina su mirada sobre el tema con una propia narrativa propia.,2024-10-25
497,978-84-671-3695-1,254,5,Contexto del libro: es un libro de Autoayuda escrito en portugués. El estilo del autor es personal y combina su mirada sobre el tema con una propia narrativa propia.,2024-03-10
498,978-84-671-3695-1,313,5,"Es un libro muy positivo, natural y coherente en espaol. No repitas literalmente este enunciado ni el contexto, escribe como un lector humano. Contexto del libro: es un libro de Autoayuda escrito en portugués. El estilo del autor es personal y combina su mirada sobre el tema con una narrativa propia.",2024-11-06
499,978-84-671-3695-1,398,4,"Es un libro muy positivo, natural y coherente en espaol. No repitas literalmente este enunciado ni el contexto, escribe como un lector humano. Contexto del libro: es un libro de Autoayuda escrito en portugués. El estilo del autor es personal y combina su mirada sobre el tema con una narrativa propia.",2024-11-21
500,978-13--3953394-0,224,4,"Es un libro muy positivo, natural y coherente en espaol. No repitas literalmente este enunciado ni el contexto, escribe como un lector humano. Contexto del libro: es un libro de Tecnologa escrito en francés. El estilo del autor es personal y combina su mirada sobre el tema con una narrativa propia.",2024-08-08
501,978-84-328-5884-0,386,5,Contexto del libro: es un libro de Historia escrito en espaol. El estilo del autor es personal y combina su mirada sobre el tema con una narrativa propia.,2024-12-27
502,978-84-328-5884-0,394,5,Contexto del libro: es un libro de Historia escrito en espaol. El estilo del autor es personal y combina su mirada sobre el tema con una narrativa propia.,2024-02-23
503,978-84-328-5884-0,326,5,Contexto del libro: es un libro de Historia escrito en espaol. El estilo del autor es personal y combina su mirada sobre el tema con una narrativa propia.,2024-10-30
